Press,Headline,Analysis
IT동아,"잇따르는 전기차 화재, 왜 발생할까?",부정
경향신문,"고성능은 기본…전기차, 이제 사이즈로 승부한다",중립
오마이뉴스,"""가장 전기차다운…"" 연비-주행 모든 것 담았다",긍정
MBC,"싼타페 너마저..전기차 시대, 베트남 중국 인도가 몰려온다",중립
오토타임즈,"[시승]엔트리 고급 전기차의 가치, 아우디 Q4 e-트론 40",중립
연합뉴스,"""중국산 전기차 몰려온다""…美 자동차 시장 경고",부정
연합뉴스,"""日도요타, 테슬라 추격 위해 전기차 사업 '리부팅' 검토""",중립
연합뉴스,'리스' 전기차로 숨통 텄지만…북미조립·핵심광물 규정 '난관',부정
연합뉴스,"""전기차, 미국 자동차시장 주류로…저비용 힘입어 보급 확산""",긍정
MBC,한국산 전기차 차별 막을 수 있을까?,중립
연합뉴스,"도요타, 일본 공장에 전기차 전용 생산라인 설치 검토",중립
연합뉴스,[시승기] 안정적 주행감 강점..폭스바겐 전기차 ID.4,긍정
전자신문,"[신차드라이브]폭스바겐 ID.4 ""잘 만든 전기차 교과서""",긍정
한겨레,[단독] 뒤차 놀래키는 전기차 ‘브레이크등’…국토부 이제야 바꾼다,부정
국민일보,"'전기차, 전기차 그리 외치더니'.. 유럽서 부는 회의론",부정
연합뉴스,국산과 수입 전기차 보조금 차이 '최소 250만원' 더 벌어질듯,부정
연합뉴스,"진화에만 2시간…소방당국, 전기차 화재 대응에 골머리",부정
문화일보,"<문희수의 시론>전기차 보급, 속도조절 필요하다",중립
한겨레,"내수시장 벗어나는 중국차, ‘전기차’ 앞세워 세계 데뷔 성공할까",중립
연합뉴스,한국산 전기차도 '리스 차량'은 美인플레법 보조금 받는다(종합),긍정
오토타임즈,"[하이빔]전기차 시대, 판매사도 바짝 긴장?",중립
동아일보,“전기차 배터리 40% 남으면 조급… 생활권내 충전소 미리 확인을”,중립
KBS,[ET] 전기차 30만 대 시대..현황과 보완점은?,중립
문화일보,<오후여담>뒤죽박죽 전기차 보조금,부정
연합뉴스,'북미조립' 언급없는 美 IRA 일정표…한국 전기차 차별해소 난망,부정
헬스조선,불 붙으면 '열폭주'… 전기차 탈출 묘수는?[살아남기],부정
뉴시스,BMW i7 살펴본 이재용…전기차 협력 강화 약속,긍정
뉴시스,"日정부, 전기차 대상 주행거리별 세금 부과 검토",중립
머니투데이,"""AS망 갖춰야 보조금"" 韓전기차 맞불",부정
연합뉴스,"정부, IRA 상업용 전기차 요건 완화 제안 방침…돌파구 주목(종합)",긍정
오토타임즈,[하이빔]차별로 변질되는 전기차 보조금,부정
일간스포츠,3고 뚫은 경차의 부활…내년엔 전기차 모델 가세,중립
머니투데이,전기차로 '탄소중립·일자리 보호' 두 마리 토끼 잡는 獨,긍정
전자신문,[카&테크]미래 전기차 핵심 '열 관리' 기술,중립
뉴시스,"""유럽 전기차 고속충전비 휘발유값보다 비싸""",부정
연합뉴스,"韓美 '한국산 전기차 보조금 제외' 협의 착수..美 ""긴밀 연락""",중립
연합뉴스,개인 소유 전기차 충전기 공유 서비스 허용..수익창출 가능,긍정
오토타임즈,"[하이빔]전기차, 배터리 가격의 진짜 고민",중립
조선비즈,[시승기] 가속페달 하나로 주행 가능… 볼보 전기차 ‘C40 리차지’,긍정
한국경제,"""1.8억 값어치 하네""..'신기술 중무장' 벤츠 전기차 EQS [신차털기]",긍정
한국경제,전기차 인기인데 보조금 남아돈다…'기현상' 벌어진 까닭,중립
SBS,'수리비 폭탄' 전기차 배터리..묻지마 교체 막는다,부정
비즈워치,"토요타, 전기차보다 하이브리드 밀고있는 이유",부정
연합뉴스,"바이든 ""전기차 미국내 생산"" 거듭 강조..차별 해소 장기화하나(종합)",중립
전자신문,인기 전기차 품귀… 내년까지 밀렸다,부정
연합뉴스,"세계 완성차업계, 배터리·반도체 부족에 전기차 수요 못 따라가",부정
동아일보,"도요타, 전동화 전략 대대적 수정…하이브리드-전기차 놓고 갈팡질팡?",부정
연합뉴스,"중국서 전기차 업계 뜨거운 판촉 경쟁..할인, 보험료 지원",긍정
헬스조선,"전기차 화재 위험, 과대평가 vs 과소평가?",중립
머니투데이,"'대륙의 실수' '샤오미', 전기차 도전은 '진짜' 실수?",부정
문화일보,<오후여담>高비용 전기차,부정
연합뉴스,"중국 전기차 비야디, 상반기 순이익 3배로 증가",긍정
IT동아,전기차 확산 막아선 대외 불확실성,부정
연합뉴스,"정부, IRA 전기차 세액공제 관련 의견서 美 정부에 제출(종합)",중립
중앙일보,"""보조금 잡아라"" 니로부터 코란도‧볼트까지 '전기차 풍년'",긍정
뉴시스,"美 전기차 보조금 축소..""현대차 해법, 이것밖에 없다""",부정
연합뉴스,전기차 배터리 카르텔 생기나…호주 리튬·인니 니켈 동맹 추진,부정
파이낸셜뉴스,"전기료 치솟는 유럽, 전기차 유지비가 휘발유보다 비싸",부정
연합뉴스,"바이든, 'IRA 조정' 가능성 첫 시사…한국 전기차 차별 해소되나",중립
한국경제,"""대세면 뭐합니까""..전기차 대신 하이브리드 찾는 이유",부정
연합뉴스,주유소에도 전기차 충전기..공원서 자율주행로봇 배달(종합),중립
매일경제,노란색 미러·동그란 디스플레이..'미니' 감성 담은 전기차,긍정
한겨레,전기료 오르고 충전소 여전히 부족…전기차는 미래인가?,중립
MBC,"전기차 차별 대응에 새로운 전략..""미국에 논란 만들겠다""",부정
연합뉴스,수입전기차 잘 나가는데…전동화 더딘 '르쌍쉐' 존재감 없어,부정
비즈워치,'HEV·PHEV·BEV' 다양한 전기차..어떤 차이 있을까,중립
