Press,Headline,Analysis
한국경제TV,다시 '전기차'..코로나 끝나면 달릴까?,중립
경향신문,"전기차, 알고 타면 '기똥차'",긍정
동아일보,지금까지 없던 '진짜 전기차'가 몰려온다,긍정
디지털타임스,벤츠 첫 전기차 '더 뉴 EQC' 실제로 몰아봤더니 ..,중립
한겨레,"전기차 배터리의 질주, 2025년 반도체 뛰어넘는다",긍정
KBS,"전기차 충전, 느려서 문제인데 ""느린 게 답""이라고요?",부정
세계일보,2021년 보조금 축소 전망.. '가성비' 중저가 전기차로 시선 돌린다,중립
중앙일보,정의선·구광모도 만났다 '전기차 4자 동맹' 뜨나,중립
문화일보,엔진車 갈수록 커지는데.. 전기차는 소형이 대세,중립
SBS,위장 전입에 속수무책..뻥 뚫린 전기차 구매 보조금,부정
오토타임즈,"[하이빔]전기차 혁명, 영역 파괴는 시작됐다",긍정
머니투데이,예전의 '아이오닉'은 잊어라..속까지 '진짜' 전기차가 온다,부정
중앙일보,"푸조 전기차 e-208, 탈수록 주행가능거리가 늘어난다?",중립
한겨레,EU 환경규제 내년 대폭 강화..전기차 대중화 '액셀' 밟나,중립
오마이뉴스,"'유럽 1등' 르노 전기차 '조에', 한국에서 먹힐까",중립
매일경제,"기아차, 전기차·모빌리티 양대축 키운다",긍정
동아사이언스,전기차 플랫폼 연구 '한우물'..지역 수평 협력네트워크 이끈다,중립
머니투데이,'무법천지'된 전기차 주차장..일반차 주차해도 속수무책,부정
오토타임즈,올해 글로벌 출시를 앞둔 전기차 10종,중립
조선비즈,"'올해 유일 모터쇼' 열린 베이징, 화두는 전기차",중립
KBS,바이든 2천조 '그린뉴딜'에 K-배터리·전기차 준비됐나?,중립
조선비즈,[시승기] 아우디는 첫 전기차 e-트론을 어떻게 만들었나,중립
중앙일보,"'전기차 황제' 머스크, 왜 상하이서 재킷 벗어던지고 막춤췄나",긍정
전자신문,테슬라·벤츠 잡을 제네시스 첫 '전기차 전용 SUV' 내년 6월 양산,중립
조선비즈,"미국차도 유럽차도, ""전기차는 이르니 하이브리드부터""",중립
경향신문,코로나19에도 훨훨 나는 전기차,긍정
MBC,'초소형'이 소형보다 비싸다?..이상한 전기차 보조금,부정
중앙일보,'1억' 럭셔리 전기차 승자는?..'완판' 아우디 웃었다,긍정
연합뉴스,"LG전자, 캐나다 마그나와 전기차 파워트레인 합작사 세운다(종합)",중립
중앙일보,미래 전기차 주도권 달렸다..SK·LG '피터지게' 싸우는 이유,부정
신동아,"쌍용 첫 전기차 'E100', 부활의 '전기충격기' 될까",중립
연합뉴스,"유럽·중국, 전기차 배터리 공세 확대..'K-배터리'에도 부담",부정
동아일보,테슬라의 질주와 한국 전기차의 미래[동아 시론/이상근],중립
조선비즈,탈원전에 충전료 4배 인상.. 전기차가 뒤집어졌다,부정
오토타임즈,"푸조 ""언제까지 주행거리 따질래? 전기차도 예뻐야지""",긍정
조선비즈,세계는 '전기차 배터리' 전쟁..韓·中·獨 유럽서 격돌,중립
한겨레,"""전기차 판매 2036년 내연차 앞지른다""..변수는 저유가",중립
세계일보,車산업 인프라 적극 활용 '전기차 메카' 꿈꾼다,긍정
조선일보,"전기차株, 비트코인처럼 널뛰기",부정
프레시안,"코로나19 이후 전기차 시장 성장, 왜?",중립
연합뉴스,전기차는 늘어나는데..충전 인프라 확충은 '느릿',부정
오토타임즈,"국내 전기차 판매 톱5, 1위는 '코나 일렉트릭'",중립
IT동아,양산차 제조사의 전기차는 일반 자동차보다 성능이 낮을까?,중립
한겨레,"""유럽 기준 -100km""..한국 오면 짧아지는 '전기차 주행거리'의 비밀",중립
중앙일보,"전기차 트럭, 테슬라도 팔 걷었지만 ""완충 2시간"" 차주들 허탈",부정
연합뉴스,"""미래 생존 희망은 전기차""..중국서 '합종연횡' 치열",중립
KBS,"잘 나가는 전기차, 몇 명이 만들어요?..친환경차 시대 일자리는?",중립
KBS,[친절한 경제] 미세먼지 내뿜는 이륜차..초소형 전기차가 답?,중립
중앙일보,배터리는 10일이 분수령..전기차 확산 원년인데 '발 동동',부정
한국경제,"애플 전기차 ""만든다 vs 안 만든다""..갑론을박 [김현석의 월스트리트나우]",중립
중앙일보,"전기차 빅뱅..2020년을 잡는 자, 모빌리티의 미래 주도한다",긍정
전자신문,[사설]검토 필요한 전기차 충전요금,중립
시사저널,'전기차 시대' 대전환기에 던져진 묵직한 질문들,중립
MBN,"""전기차, 탄력받다 말아""..할인 종료 '설상가상'",부정
지디넷코리아,[분석] 주행거리 변화 없이 출시된 2020년형 코나 전기차,중립
연합뉴스,"바이든 시대 대세는 전기차?..서학개미, 관련주 1천억 사들여",긍정
뉴시스,"GM, '얼티엄' 배터리·차세대플랫폼 공개..전기차 공략 강화",긍정
지디넷코리아,"테슬라 모델 3, 상반기 국산 전기차 모두 제쳤다",긍정
연합뉴스,"""금지"" vs ""허용""..아파트 전기차 충전구역 '주차 논란' 가열",중립
중앙일보,"수천억 보조금 수혜..테슬라 전기차, 한국시장 쓸어간다",긍정
연합뉴스,전기차 정기검사 때 배터리 확인..정비책임자 교육 의무화,중립
연합뉴스,"전경련 ""전기차 경쟁 심화..충전인프라 확충·자원개발 나서야""",중립
머니투데이,"아이폰 만드는 폭스콘, '전기차'도 만든다..삼성·LG는?",중립
