Press,Headline,Analysis
한국경제,경형 전기차 뜬다..가격 경쟁 '초읽기,긍정
한겨레,문재인 대통령도 제네시스 전기차 갈아탈까,중립
노컷뉴스,[레알시승기]'고급 전기차 세단의 기준'..제네시스 G80 전동화,긍정
채널A,엔진 없는 전기차 혁명..일자리도 바꾼다,긍정
머니투데이,'전기차' 타고 동해까지 달렸다..충전하다가 지쳤다,부정
전자신문,[대한민국 희망프로젝트]〈733〉전기차 초고속 충전소,중립
KBS,한라산에 BMW 전기차 무더기 방치..왜?,부정
조선비즈,[시승기] '고성능 패밀리 전기차' BMW iX.. 313km 주행거리는 아쉬워,부정
아레나,전기차 모두 모여,중립
조선비즈,배터리 넘어 전기차 생태계 꾸리는 중국 CATL,중립
SBS,"[친절한 경제] 전기차 시대, '바이 아메리칸' 대처는?",중립
노컷뉴스,"'전기차 라인업' 완성하는 벤츠, 승자는 중국 배터리?",중립
SBS,"전기차 보조금, 예산 늘었는데 혜택은 줄어든다",부정
MBC,'충전 대신 배터리 교체'..전기차 시장 흔드나?,중립
중앙일보,"전기차 사용자 90% 가 쓰는 앱, 이렇게 개발됐다",긍정
한겨레,"[ESC] 전기차 시대, 왜 로고부터 바꾸지?",중립
머니투데이,이젠 전기차도 시끄러워야 팔린다..포르쉐 타이칸 성공 공식,부정
동아일보,"""수입차와 겨룰 수 있겠다"".. 기아 전기차 'EV6' 뜯어보기",긍정
연합뉴스,"""보조금 없어도 괜찮아요"" 뜨거워지는 럭셔리 전기차 시장",긍정
MBC,"""테슬라가 다 받아갈라"" 전기차 보조금 고갈?",부정
연합뉴스,E-GMP 고성능 전기차·스타리아 수소차..'티징'으로 눈치챘다,중립
머니투데이,스마트폰처럼 간편하게..가로등 찾아가 전기차 충전한다,긍정
연합뉴스,"중국 전기차 기업들 테슬라 추격전..니오, 'ET5' 공개",중립
한겨레,"[ESC] 캠핑, 전기차 SUV로 가는 날 올까?",중립
오마이뉴스,"기술의 혼다, 전기차 앞서 하이브리드로 승부 걸다",중립
연합뉴스,"인도네시아, G20 정상회의 의전차량 제네시스 전기차 채택",긍정
동아일보,"전기차-배터리 화재 논란, 초기에 잠재워 안전 담보해야[광화문에서/이상훈]",부정
경향신문,"포르셰님, 전기차에 무슨 짓을 한 건가요?",부정
연합뉴스,"중국 전기차 '춘추전국' 끝내나..""합병·재편 장려""",부정
한국경제,"""달릴수록 값어치 한다""..'제네시스 전기차' G80 선택할 이유 [신차털기]",긍정
연합뉴스,"미국 전기차 충전소 설치 '합종연횡'..""수익성은 불투명""",중립
연합뉴스,중국 전기차 바이톤 파산 위기..적자생존 본격화 예고,부정
동아일보,전기차 충전요금은 왜 오를까[이원주의 날飛],중립
한국경제,2022 '스트리트 전기차 파이터',중립
머니투데이,"전기차 EV6는 어디 차?..기아차 'X', 기아 'O'",중립
연합뉴스,"'미국 제재' 화웨이, 전기차 사업 본격 진출..SUV 합작생산",중립
연합뉴스,전기차 급속충전기 사용 요금 오른다..내일 공고,부정
연합뉴스,2030년 자동차 대전환..내연기관차 저물고 전기차 떠오른다,중립
한겨레,외계인이 전기차를 왜?..포르셰 전기차가 다른 세가지,중립
연합뉴스,"미, 자문위 구성해 충전소 표준지침..전기차 로드맵 본격화",긍정
연합뉴스,배터리 교환식 전기차 밀어붙이는 중국..11개 시범도시 지정,긍정
머니투데이,"전기차 투자, 부품주에 주목하라..추천 종목은?[부꾸미TALK]",중립
오토타임즈,"효율에서 터보까지, 올해 전기차 풍년",긍정
연합뉴스,보조금 받는 전기차 내년 두배로 늘어난다..지급 기준은 강화,중립
KBS,"전기차 수백억 지원하고도, 몇 대 굴러다니는지 '깜깜'",부정
중앙일보,보닛 속 휑한데..내연차보다 300kg 더 무거운 전기차 왜 [주말車담],부정
매일경제,"""몰랐다 놀랐다""..테슬라 20년 앞섰던 쌍용차, '날개달린 전기차' 1995년 내놨다 [왜몰랐을카]",중립
동아일보,"친환경 전기차, 배터리도 친환경일까[정우성의 미래과학 엿보기]",중립
머니투데이,푸조 e-2008 전기차..'주행거리'만 빼면 다 좋다[차알못시승기],중립
IT동아,"[리뷰] 시내 배달, 출퇴근에 안성맞춤 초소형 전기차, 마이브 M1",중립
프레시안,전기차 전환 논의가 놓친 논쟁들,부정
MBC,테슬라 보조금 깎인다..전기차 시장 재편되나?,부정
동아일보,100년 역사의 차 브랜드 흔드는 전기차[김도형 기자의 일편車심],중립
MBC,"전기차 직접 운전한 '바이든'..""중국 놔두지 않겠다""",부정
MBC,전기차 시대 성큼 다가왔지만..자칫 불나면 통제불능?,부정
연합뉴스,전기차 속속 출시되는데..늘어나는 결함 폭증하는 리콜,부정
동아일보,"[류청희의 젠틀맨 드라이버]전기차 시대, 슈퍼카의 변신",긍정
연합뉴스,기아 첫 전용 전기차 윤곽 드러내..이름은 'EV6',중립
오토타임즈,"줄어드는 전기차 보조금, 소비자 부담 우려",부정
연합뉴스,미국 재건법안 무산 위기에 전기차 주가 일제히 하락,부정
경향신문,2025 제네시스 '전기차 르네상스' 연다,긍정
중앙일보,[트랜D] 점차 치열해지는 전기차 시장의 승자는 누굴까,중립
머니투데이,"포르쉐 타이칸이 테슬라에게..""전기차의 감성은 이런거야""[차알못시승기]",긍정
연합뉴스,상반기 국내 자동차 판매 줄었는데..수입차·전기차 '돌풍',긍정
연합뉴스,"""작년 전기차 시장, 유럽이 중국보다 커졌다""",중립
연합뉴스,전기차 지형 재편? 증시 테슬라 '제동' 전통완성차 '가속',부정
경향신문,전기차 아니면 '명함' 내밀기 힘들겠네,부정
연합뉴스,수입차에 밀린 '르쌍쉐'..전기차로 반전 기회 잡을까,중립
KBS,[심층취재] 관리 주체 제각각..전기차 충전기 방치 불렀다,부정
연합뉴스,"미국 렌터카업체, 전기차 구매 '큰손'으로 뜬다",긍정
연합뉴스,제네시스 G80 전동화모델 계약 2천대 돌파..고급 전기차 '선점',긍정
JTBC,'운전자 부담' 전기차 배터리..보험 전액 보상 받는다,중립
중앙일보,"전기요금 올랐는데, 전기차 괜찮을까",부정
