Press,Headline,Analysis
아이뉴스24,"스텔란티스코리아, 소형 전기차 대전에 참전…판매량 회복할까",중립
JIBS,전기차 지원 확대.. 제주 보급률 최초 10% 넘나,긍정
파이낸셜뉴스,유럽 공략 나서는 소형 전기차… EV3·캐스퍼 일렉트릭 연내 진출,긍정
주간동아,저가형 전기차로 ‘캐즘’ 돌파한다… EV3·캐스퍼 일렉트릭 흥행몰이,긍정
노컷뉴스,광주그린카진흥원 방문해 '캐스퍼 전기차' 만나 보세요,긍정
전자신문,"[ET톡] 전기차 캐즘, 돌파구는 있다",긍정
전자신문,"대주전자재료, 파나소닉에 실리콘 음극재 공급…테슬라 전기차 탑재 임박",긍정
데일리안,"후방산업까지 드리운 전기차 캐즘 ‘먹구름’…에코프로, 적자전환(종합)",부정
지디넷코리아,"인류 재앙 산불 막자…美 남부 도시, 경찰차 모두 전기차로 바꿔",긍정
한국경제,전기차 부진 직격탄…양극재社 '버티기' 돌입,부정
매일경제,"""식량위기 해소 위해 달린다"" 현대차, WFP에 전기차 지원",긍정
조선비즈,"전시장 확보한 BYD… 中 전기차, 韓 공략 시동",중립
지디넷코리아,"에코프로, 2분기도 실적 하락세…전기차 캐즘 여파",부정
세계일보,서울에 ‘초고속·로봇’ 전기차 충전 인프라 확대,긍정
한국경제TV,"""전기차 수요 둔화·경쟁 심화…목표가↓""",부정
머니투데이,미국 '중국 전기차 100% 관세' 2주 이상 연기…후보 교체 시기에,중립
디지털타임스,"현대차그룹 전기차, 전 세계서 `엄지척`…비결은 `E-GMP`",긍정
세계일보,"포스코퓨처엠, 푸른꿈 환경캠프 개최, '친환경 전기차 내 손으로 뚝딱'",긍정
동아일보,"‘전기차 직격탄’ 삼성SDI, ESS 호황 덕에 실적은 ‘선방’",중립
연합뉴스,"하이투자증권 ""전기차 수요 둔화세 뚜렷…삼성SDI 목표가↓""",부정
지디넷코리아,"""충전소 많고 선택지 충분""…BMW, 전기차 '캐즘'에도 성장했다",긍정
중앙일보,"“주차만 해놔요”…불편한 전기차 충전, 이제 로봇이 척척",중립
연합뉴스TV,"미, 전기차 등 대중관세 인상 2주 이상 순연",중립
디지털타임스,[기고] 전기차 화재예방 보조금의 문제점,부정
중앙일보,"""전기차 충전소에도 나타난 로봇""…무거운 케이블 로봇이 척척",긍정
데일리안,"[컨콜] 에코프로비엠 ""저가 전기차도 가격경쟁력 부족으로 흥행 부진…금리 인하로 수요 반등 기대""",중립
비즈워치,"삼성SDI, '전기차 한파' 직격탄…""투자 계획 수정 없다""",부정
머니투데이,"삼성SDI, 전기차 수요 둔화로 실적 악화…3분기 부진 지속 전망-IBK",부정
데일리안,"[컨콜] 에코프로비엠 ""전기차 성장 둔화에 양극재 캐파 하향 및 속도조절 검토 중""",부정
한국경제,소형 전기차 최대 1400만원 인하…가격 경쟁 나선 푸조,긍정
MBC,"중국, EU 6월 전기차 시장점유율 역대 최대‥""관세 앞서 밀어내기""",중립
조선비즈,"전기차 캐즘 잊은 HL만도, 수익성 개선 속도",중립
스포츠동아,"부산시설공단, 전기차 충전소 특별 안전 점검 착수",중립
데일리안,"KOMSA, 경남 통영항에서 여객선 내 전기차 화재 예방 훈련",중립
뉴시스,"BMW코리아, 전기차 캐즘에도 판매량 증가…비결은?",중립
경향신문,"전기차 ‘캐즘’ 장기화에…속 썩는 배터리, 매출·이익 ‘뚝’",부정
한국경제,"암참 ""TV 광고 규제 완화하고, 전기차 보조금 정책 바꿔야""",중립
한국경제,"""로봇이 코드 꽂아주네""…서울시, 기업과 손잡고 전기차 충전기 늘린다",긍정
뉴시스,"해양교통안전공단, 여객선 전기차 화재대응 민·관 합동훈련",중립
데일리안,"[컨콜] 에코프로비엠 ""전기차 시장, 하반기에도 성장 둔화 추세 지속 전망""",부정
노컷뉴스,"LG전자 ""교통 약자 위한 전기차 로봇 충전 솔루션 설치""",긍정
경향신문,컨슈머리포트 ‘최고의 전기차’ 선정···아이오닉6는 몇 위일까,중립
아이뉴스24,"부산관광공사, 전기차 화재 대비 대응력 강화",중립
뉴시스,설비투자지수 개편…반도체 가중치 늘리고 전기차 추가,중립
머니투데이,"삼성SDI, '전기차 캐즘'에 영업익 38% ↓…""투자는 그대로""",부정
중앙일보,"시진핑 '일대일로 탈퇴' 이탈리아에 '유화 제스처'…""전기차 협력 확대""",긍정
디지털타임스,美 `최고 전기차`에 GV60·아이오닉6·EV9,중립
조선비즈,"현대차, 하이브리드 우선 전략으로 선회… GM·포드도 전기차 속도 조절한다",중립
데일리안,"두산로보틱스, 협동로봇 활용한 전기차 충전 솔루션 제공",중립
한국경제,"""전기차 타기 편해지려나""…LG전자, 충전인프라 확대 '시동'",중립
머니투데이,"전기차 잘 팔려야 K-배터리도 힘받는다…""보조금 유지해야""",긍정
경향신문,"전기차 충전, 알아서 척척…서울시내 복지센터에 ‘로봇 솔루션’ 들어선다",긍정
전자신문,"현대차·기아, 프랑스 판매 10대 중 6대는 '전기·하이브리드車'",긍정
오마이뉴스,"서울시, 민간기업과 '전기차 충전 인프라 확충' 업무협약",긍정
머니투데이,"""전기차·스마트폰 모두 잡겠다""…추락하던 화웨이, 무서운 질주",긍정
SBS Biz,中 샤오미 전기차 잘나가네...현지 제2 공장까지 짓는다,긍정
더팩트,"전기차 충전, 이제는 '양보다 질'…초고속 기기 보급",긍정
지디넷코리아,더 짙어진 캐즘…전기차 신차 출시도 잇따라 지연,부정
지디넷코리아,"삼성전기, AI·전장 MLCC로 날았다…하반기도 '쾌청'",긍정
쿠키뉴스,"횡성군, 전기차 배터리 안전성 '새 전환점' 마련한다",긍정
매일경제,영업익 급감에 난감해진 삼성SDI…‘전기차 캐즘’ 극복 묘수 알아보니,부정
문화일보,최상 승차감·극강 하차감… 전기차 ‘품격’ 으로 달린다 [자동차],긍정
정책브리핑,[사실은 이렇습니다] 국토부 “전기차 번호판 색상·디자인 지속 개선”,중립
머니투데이,"""샤오미, 베이징 산업 용지 매입 완료…내년 2번째 전기차 공장 가동""",중립
연합뉴스,"시진핑, 伊총리에 전기차협력·수입확대 '유화 제스처'",긍정
오토타임즈,"지프 어벤저, 소형 전기 SUV '히어로' 될까",중립
KBS,전기차 수요 정체…2차 전지 소재 부진 장기화,부정
오토타임즈,"유럽 프리미엄 브랜드, 중국 전기차에 밀리나",부정
연합뉴스,"삼성전기, 2분기 중 최대 실적…하반기도 AI가 실적 이끈다(종합2보)",중립
아이뉴스24,"[컨콜 종합] '비수기' 잊은 삼성전기 ""하반기 MLCC 출하 지속 상승""",긍정
데일리안,"'AI 수혜'로 비수기 넘은 삼성전기, 2Q 이어 하반기도 좋다(종합)",긍정
조선비즈,[뉴테크] 전기차도 무선 충전…10분에 절반 채웠다,긍정
